PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
20,https://jobsbyculture.com/compare/anthropic-vs-cursor,Anthropic vs Cursor (Anysphere): Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,0,"Anthropic (4.4 Glassdoor, 3.7 WLB) vs Cursor (Anysphere) (4.0 Glassdoor, 3.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",168,1,true
20,https://jobsbyculture.com/compare/incidentio-vs-tailscale,incident.io vs Tailscale: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,0,"incident.io (4.5 Glassdoor, 4.1 WLB) vs Tailscale (4.4 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",161,1,true
20,https://jobsbyculture.com/compare/perplexity-vs-tailscale,Perplexity AI vs Tailscale: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,0,"Perplexity AI (4.7 Glassdoor, 3.3 WLB) vs Tailscale (4.4 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",163,1,true
20,https://jobsbyculture.com/blog/working-at-openai-2026,"Working at OpenAI in 2026: Culture, Work-Life Balance & Salary",text/html; charset=utf-8,false,200,0,0,"Is OpenAI a good place to work in 2026? 4.5 Glassdoor, $350k–$550k comp, but how's the work-life balance? Honest breakdown from employee reviews + hiring status.",161,1,true
20,https://jobsbyculture.com/blog/working-at-supabase-2026,"Working at Supabase in 2026: Culture, Compensation & What Employees Say | JobsByCulture",text/html; charset=utf-8,false,200,0,0,"What's it really like working at Supabase in 2026? 4.8 Glassdoor but only 3.0 WLB — 100% recommend yet relentless pace. Open source, fully remote, $5B valuation. The real story.",177,1,true
20,https://jobsbyculture.com/compare/databricks-vs-fireworksai,Databricks vs Fireworks AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,0,"Databricks (4.1 Glassdoor, 3.9 WLB) vs Fireworks AI (4.2 Glassdoor, 3.3 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",163,1,true
20,https://jobsbyculture.com/compare/deepmind-vs-together,Google DeepMind vs Together AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,0,"Google DeepMind (4.2 Glassdoor, 4.0 WLB) vs Together AI (4.1 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",167,1,true
20,https://jobsbyculture.com/compare/huggingface-vs-mistral,Hugging Face vs Mistral AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,0,"Hugging Face (3.8 Glassdoor, 4.1 WLB) vs Mistral AI (4.0 Glassdoor, 3.6 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",163,1,true
20,https://jobsbyculture.com/compare/cursor-vs-weaviate,Cursor (Anysphere) vs Weaviate: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,0,"Cursor (Anysphere) (4.0 Glassdoor, 3.5 WLB) vs Weaviate (4.3 Glassdoor, 4.2 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",167,1,true
20,https://jobsbyculture.com/compare/airbnb-vs-deepmind,Airbnb vs Google DeepMind: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,0,"Airbnb (4.1 Glassdoor, 4.0 WLB) vs Google DeepMind (4.2 Glassdoor, 4.0 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",162,1,true
