PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
20,https://jobsbyculture.com/compare/cohere-vs-supabase,Cohere vs Supabase: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,442,<truncated>,2806,14900250602021711112,0,true
20,https://jobsbyculture.com/compare/hubspot-vs-stripe,HubSpot vs Stripe: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,500,<truncated>,3116,15061631010580512895,0,true
20,https://jobsbyculture.com/compare/datadog-vs-hubspot,Datadog vs HubSpot: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,523,<truncated>,3268,16960597872908012884,0,true
20,https://jobsbyculture.com/compare/vast-vs-weaviate,Vast AI vs Weaviate: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,484,<truncated>,2969,16068920486918879495,0,true
20,https://jobsbyculture.com/compare/datadog-vs-replit,Datadog vs Replit: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,490,<truncated>,3068,530053864432650447,0,true
20,https://jobsbyculture.com/compare/databricks-vs-openai,Databricks vs OpenAI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,483,<truncated>,2988,243144579893910826,0,true
20,https://jobsbyculture.com/compare/apollo-vs-stripe,Apollo.io vs Stripe: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,489,<truncated>,3121,304792418758901305,0,true
20,https://jobsbyculture.com/compare/elevenlabs-vs-vercel,ElevenLabs vs Vercel: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,501,<truncated>,3092,4000338325330858950,0,true
20,https://jobsbyculture.com/compare/openai-vs-vast,OpenAI vs Vast AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,478,<truncated>,2817,1570684072316943434,0,true
20,https://jobsbyculture.com/compare/anthropic-vs-cursor,Anthropic vs Cursor (Anysphere): Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,521,<truncated>,3279,15055044674854912311,0,true
20,https://jobsbyculture.com/compare/datadog-vs-ramp,Datadog vs Ramp: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,517,<truncated>,3176,16623416825952137551,0,true
20,https://jobsbyculture.com/compare/airbnb-vs-brex,Airbnb vs Brex: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,531,<truncated>,3340,16671362433681073461,0,true
20,https://jobsbyculture.com/compare/incidentio-vs-runway,incident.io vs Runway: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,442,<truncated>,2857,16104578896878317535,0,true
20,https://jobsbyculture.com/compare/crusoe-vs-plaid,Crusoe vs Plaid: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,547,<truncated>,3388,14141803999514233489,0,true
20,https://jobsbyculture.com/compare/datadog-vs-fireworksai,Datadog vs Fireworks AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,539,<truncated>,3329,14782728248323744611,0,true
20,https://jobsbyculture.com/compare/apollo-vs-replit,Apollo.io vs Replit: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,450,<truncated>,2896,2910036574347169477,0,true
20,https://jobsbyculture.com/compare/apollo-vs-mistral,Apollo.io vs Mistral AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,489,<truncated>,3054,15326183170081147685,0,true
20,https://jobsbyculture.com/compare/apollo-vs-brex,Apollo.io vs Brex: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,482,<truncated>,3116,18109347313674361142,0,true
20,https://jobsbyculture.com/compare/cohere-vs-ramp,Cohere vs Ramp: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,494,<truncated>,3026,13989456331459896035,0,true
20,https://jobsbyculture.com/compare/stripe-vs-weaviate,Stripe vs Weaviate: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,,461,<truncated>,2893,1866085267748573006,0,true
